file,y_tc_mean,ntc_mean,A_rms,B_rms,C_rms,D_rms,U_A,U_B,U_C,U_D,R_AB,R_AC,R_AD,R_BC,R_BD,R_CD
J1-T100-I1 Tp 4_Processed.unv,100.0677007039388,32.26171100912071,2.821478366851806,2.842028498649597,2.8642619848251343,2.864360928535461,0.221159072562362,0.27383530595312733,0.2670300495514222,0.24033584222152982,0.8076353477963065,0.8282179212934356,0.92020844880269,1.0254849834808373,1.1393860500454167,1.1110704382798091
J1-T100-I2 Tp 4_Processed.unv,100.13540903727214,55.56119220315831,2.460186004638672,2.625279903411865,2.611658334732056,2.5437123775482178,-0.14013328965077232,0.05708671071539495,0.014426399458344008,-0.08031270876571339,-2.454744508742236,-9.713670417584435,1.7448457635710721,3.957100375615682,-0.7108054452742609,-0.17962785317611946
J1-T100-I3 Tp 4_Processed.unv,100.3020757039388,61.86152286325572,2.2982733249664307,2.283913731575012,2.358267068862915,2.3542416095733643,-0.30204596932301353,-0.28427946112145763,-0.23896486641079706,-0.2697834767405669,1.0624966296596616,1.2639764742812682,1.119586614318383,1.1896286905739593,1.053731920709253,0.8857653897039585
J1-T105-I1 Tp 4_Processed.unv,104.63540903727214,27.08023409291842,2.551038146018982,2.530666470527649,2.5489490032196045,2.618437647819519,-0.04928114827046226,-0.037526722168820914,-0.04828293205410761,-0.0055874384944121225,1.3132281590905244,1.0206743081641358,8.819989395811207,0.777225420501951,6.716265817753625,8.641335757412692
J1-T105-I2 Tp 4_Processed.unv,104.74999237060548,44.34968696205672,2.578566074371338,2.536062717437744,2.582024574279785,2.6588034629821777,-0.021753219918106304,-0.0321304752587257,-0.015207360993926944,0.03477837666824657,0.677027642540045,1.4304401616291904,-0.6254811754329948,2.1128238667811594,-0.9238635708969573,-0.43726483093190494
J1-T105-I3 Tp 4_Processed.unv,104.89061737060548,59.60721261410853,2.5736840963363647,2.540206551551819,2.5759371519088745,2.6341015100479126,-0.026635197953079448,-0.027986641144650992,-0.02129478336483759,0.010076423733981432,0.9517111330156944,1.2507851099842635,-2.6433185678025524,1.314248690168088,-2.7774378969663287,-2.1133274986266897
J1-T110-I1 Tp 4_Processed.unv,109.29165903727214,29.398874434091084,2.576730489730835,2.546729803085327,2.5648380517959595,2.647678136825561,-0.023588804558609233,-0.02146338961114269,-0.03239388347775263,0.023653050511629914,1.099025130045775,0.7281869916834602,-0.9972838195652991,0.6625753786477393,-0.9074258561528631,-1.3695435800902278
J1-T110-I2 Tp 4_Processed.unv,109.45311737060548,48.092863455712376,2.594631791114807,2.5425175428390503,2.586725950241089,2.67372727394104,-0.005687503174637065,-0.025675649857419547,-0.010505985032623233,0.049702187627108874,0.22151350428209454,0.5413583930470303,-0.1144316466974776,2.4439069518651895,-0.5165899346332872,-0.21137872464376184
J1-T110-I3 Tp 4_Processed.unv,109.52603403727214,64.1251769126163,2.5908660888671875,2.552215695381165,2.5856990814208984,2.6502182483673096,-0.009453205422256694,-0.015977497315304845,-0.011532853852813663,0.026193162053378405,0.5916574564654421,0.8196761654055299,-0.36090355960048803,1.385389732603507,-0.609987342602802,-0.44030017564550405
J1-T115-I1 Tp 4_Processed.unv,114.1927007039388,28.927929557238865,2.5580376386642456,2.529970407485962,2.5554171800613403,2.640110731124878,-0.04228165562519859,-0.038222785210507926,-0.04181475521237177,0.016085644810946764,1.1061898130221768,1.011165924814231,-2.6285334608672106,0.9140980263158139,-2.3762047253770127,-2.5995075549545623
J1-T115-I2 Tp 4_Processed.unv,114.43749237060548,48.40738921996945,2.5902583599090576,2.540283799171448,2.5943530797958374,2.6828513145446777,-0.010060934380386577,-0.027909393525021642,-0.0028788554778746978,0.05882622823074657,0.3604855967710884,3.494768826608141,-0.1710280377134234,9.69461431444472,-0.4744379227501501,-0.04893829783854837
J1-T115-I3 Tp 4_Processed.unv,114.57290903727214,64.60673209525243,2.590632438659668,2.5519134998321533,2.593334794044494,2.6613337993621826,-0.009686855629776225,-0.01627969286431652,-0.0038971412292179153,0.03730871304825145,0.5950269277505141,2.4856311485843174,-0.25964057289374176,4.177342289333342,-0.436350962930883,-0.10445659769013563
J1-T120-I1 Tp 4_Processed.unv,120.12499237060548,29.580866113317462,2.5811883211135864,2.5576480627059937,2.584069609642029,2.670117497444153,-0.01913097317585777,-0.010545129990476187,-0.013162325631683292,0.04609241113022167,1.8141998432580602,1.4534645100868215,-0.41505689780055915,0.8011600902117783,-0.22878234685279902,-0.2855638338054543
J1-T120-I2 Tp 4_Processed.unv,120.3802007039388,50.74630644801213,2.5999211072921757,2.5584518909454346,2.615944743156433,2.698411464691162,-0.0003981869972684571,-0.00974130175103527,0.018712807882721005,0.07438637837723094,0.040876158797374204,-0.021278848143155157,-0.005352955822760405,-0.5205686828020167,-0.1309554513009737,0.251562292599109
J1-T120-I3 Tp 4_Processed.unv,120.45311737060548,68.62760859240346,2.599934935569763,2.5671287775039677,2.6087712049484253,2.674072742462158,-0.00038435871968101054,-0.0010644151925021106,0.011539269674713193,0.05004765614822704,0.3610984908788291,-0.033308756144531625,-0.007679854547886287,-0.09224285613452972,-0.021268032799570336,0.23056563609167094
J1-T125-I1 Tp 4_Processed.unv,125.6302007039388,30.91590603772036,2.57657253742218,2.548414349555969,2.5843673944473267,2.67267382144928,-0.02374675686726402,-0.019778843140501046,-0.01286454082638544,0.04864873513534862,1.2006140449457277,1.8459078476053283,-0.4881269122659965,1.537469810032724,-0.406564386216273,-0.26443731354153843
J1-T125-I2 Tp 4_Processed.unv,125.53124237060548,52.9471221961828,2.602020144462585,2.5564939975738525,2.6214873790740967,2.7070682048797607,0.001700850173140811,-0.0116991951226173,0.02425544380038458,0.08304311856582958,-0.14538181091215982,0.07012240992736828,0.020481530589347034,-0.4823327587364864,-0.14088097032800095,0.29208252555155323
J1-T125-I3 Tp 4_Processed.unv,125.6770757039388,71.82079265413238,2.6012948751449585,2.5650908946990967,2.61143696308136,2.679799199104309,0.000975580855514302,-0.00310229799737316,0.014205027807647763,0.05577411279037792,-0.31447038818977585,0.06867856006512459,0.01749164274797049,-0.21839436285389965,-0.05562254318652945,0.2546885480910491
J1-T130-I1 Tp 4_Processed.unv,129.68229166666666,31.812680082806875,2.587285280227661,2.568342924118042,2.597540259361267,2.677869439125061,-0.013034014061783061,0.00014973142157215236,0.00030832408755498975,0.05384435281112987,-87.04929082305046,-42.27374567177934,-0.24206835779979646,0.4856299835654186,0.0027808194128986206,0.005726210297976834
J1-T130-I2 Tp 4_Processed.unv,129.86979166666666,54.24263025188162,2.625232219696045,2.5900272130966187,2.649613380432129,2.7235262393951416,0.024912925406600728,0.021834020400148813,0.052381445158416806,0.09950115308121044,1.1410141123817459,0.4756059198301375,0.25037825829282,0.41682737721566004,0.21943484797938384,0.5264405842177963
J1-T130-I3 Tp 4_Processed.unv,130.07291666666666,73.06027326030164,2.630511999130249,2.600871682167053,2.644903898239136,2.7061901092529297,0.03019270484080483,0.03267848947058294,0.047671962965424086,0.08216502293899852,0.9239320828456344,0.6333430167896221,0.3674642050939448,0.6854865509583539,0.39771776726508445,0.5801977685908639
J1-T70-I1 Tp 4_Processed.unv,72.27603403727214,36.34171458565227,2.5665398836135864,2.544728398323059,2.567386031150818,2.592339277267456,-0.03377941067585777,-0.023464794373410758,-0.02984590412289423,-0.03168580904647511,1.4395783802024307,1.1317938480525447,1.0660737943068417,0.7861981421903502,0.7405458493735732,0.9419328406327828
J1-T70-I2 Tp 4_Processed.unv,72.3489507039388,42.18223303059033,2.258115649223328,3.0574748516082764,2.557623028755188,2.566484808921814,-0.3422036450661161,0.4892816589118065,-0.03960890651852411,-0.0575402773921172,-0.6994001079607168,8.639563046409167,5.947201865818546,-12.352819148970486,-8.50328988818598,0.6883683623664696
J1-T70-I3 Tp 4_Processed.unv,72.33853403727214,44.86493627500811,2.5132349729537964,2.497921109199524,2.520902633666992,2.53308367729187,-0.08708432133564781,-0.07027208349694591,-0.07632930160671991,-0.09094140902206105,1.2392449035530955,1.1409028970858688,0.9575871131985918,0.9206436062918106,0.7727182177252052,0.839323938649373
J1-T75-I1 Tp 4_Processed.unv,75.34374237060547,31.092419717605125,2.640620231628418,2.6486542224884038,2.643447160720825,2.697223305702209,0.040300937338973775,0.08046102979193392,0.046215225447113095,0.07319821938827786,0.5008752366603922,0.8720272799511191,0.5505726461076683,1.7410069736435754,1.099221134944973,0.6313708971794212
J1-T75-I2 Tp 4_Processed.unv,75.48436737060547,43.12935545439948,2.4628084897994995,2.6149760484695435,2.5729055404663086,2.59917426109314,-0.13751080448994468,0.04678285577307362,-0.024326394807403506,-0.024850825220791073,-2.9393418212209808,5.652740801859164,5.53345022824024,-1.9231314850992922,-1.8825473744804835,0.9788968612217831
J1-T75-I3 Tp 4_Processed.unv,75.67186737060547,51.15686516822552,2.4919155836105347,2.4837838411331177,2.5078437328338623,2.5133548974990845,-0.10840371067890953,-0.08440935156335216,-0.0893882024398498,-0.11067018881484669,1.284261858089844,1.212729507027009,0.9795204276760653,0.9443008054687312,0.7627108299649745,0.8076990144961074
J1-T80-I1 Tp 4_Processed.unv,83.3802007039388,32.43899105552049,2.7117865085601807,2.7540704011917114,2.73406195640564,2.8026885986328125,0.11146721427073647,0.18587720849524159,0.136830021131928,0.17866351231888133,0.5996819899174998,0.8146400427963294,0.6238946767809428,1.358453407794358,1.040375877999561,0.765853191600262
J1-T80-I2 Tp 4_Processed.unv,83.39061737060547,46.48059620622767,2.066161036491394,3.667119026184082,2.7387845516204834,4.034464359283447,-0.5341582577980502,1.0989258334876122,0.1415526163467713,1.410439272969516,-0.4860730738332138,-3.7735668303684724,-0.37871765770775934,7.763373520384088,0.7791372904513297,0.100360660015336
J1-T80-I3 Tp 4_Processed.unv,83.3489507039388,53.130481646765176,2.0451284646987915,2.5901812314987183,2.5602084398269653,2.546229839324951,-0.5551908295906527,0.021988038802248422,-0.03702349544674677,-0.07779524698898,-25.24967481564935,14.995635147124851,7.1365649069704435,-0.5938941889988536,-0.2826398739419532,0.475909478788483
